# One line per accepted finding: file|defun|kind|detail
# Regenerate with: python3 tools/check_scope.py --update-baseline
shared/parts/ABLOBF.lsp|abl:edit-holds|setq|abl-holds
shared/parts/ABLOBF.lsp|abl:edit-holds|setq|abl-phase
shared/parts/ABLOBF.lsp|abl:edit-walls|setq|abl-phase
shared/parts/ABLOBF.lsp|abl:edit-walls|setq|abl-walls
shared/parts/ABLOBF.lsp|abl:omit-clear|setq|abl-omitted
shared/parts/ABLOBF.lsp|abl:omit-loop|setq|abl-omitted
shared/parts/ABLOBF.lsp|abl:prune-declared|setq|abl-corners
shared/parts/ABLOBF.lsp|abl:prune-declared|setq|abl-holds
shared/parts/ABLOBF.lsp|abl:prune-declared|setq|abl-walls
shared/parts/ABLOBF.lsp|abl:sweep-marks|setq|abl-temp
shared/parts/ABLOBF.lsp|abl:temp-add|setq|abl-temp
shared/parts/ABLOBF.lsp|abl:temp-clear|setq|abl-temp
shared/parts/ABLOBF.lsp|abl:temp-drop|setq|abl-temp
shared/parts/ABLOBF.lsp|c:ablobf|setq-global|*error*
shared/parts/AUTOBEAD.lsp|autobead-say|foreach|l
shared/parts/CABHD.lsp|c:cabhd|setq-global|*error*
shared/parts/CABHD.lsp|cab:add-point|setq|cab-allpts
shared/parts/CABHD.lsp|cab:add-point|setq|cab-nmoved
shared/parts/CABHD.lsp|cab:add-point|setq|cab-numbered
shared/parts/CABHD.lsp|cab:add-point|setq|cab-ptkeys
shared/parts/CABHD.lsp|cab:add-point|setq|cab-ptnames
shared/parts/CABHD.lsp|cab:add-point|setq|npt
shared/parts/CABHD.lsp|cab:add-point|setq|pts
shared/parts/CABHD.lsp|cab:ask-cap|setq-global|*cab-max-arcs*
shared/parts/CABHD.lsp|cab:ask-tol|setq-global|*cab-tol*
shared/parts/CABHD.lsp|cab:compare|setq|cab-phase
shared/parts/CABHD.lsp|cab:declare-corners|setq|cab-decl-marks
shared/parts/CABHD.lsp|cab:declare-corners|setq|cab-phase
shared/parts/CABHD.lsp|cab:declare-holds|setq|cab-decl-marks
shared/parts/CABHD.lsp|cab:declare-holds|setq|cab-phase
shared/parts/CABHD.lsp|cab:declare-walls|setq|cab-decl-marks
shared/parts/CABHD.lsp|cab:declare-walls|setq|cab-phase
shared/parts/CABHD.lsp|cab:edit-corners|setq|cab-corners
shared/parts/CABHD.lsp|cab:edit-corners|setq|cab-phase
shared/parts/CABHD.lsp|cab:edit-holds|setq|cab-holds
shared/parts/CABHD.lsp|cab:edit-holds|setq|cab-phase
shared/parts/CABHD.lsp|cab:edit-walls|setq|cab-phase
shared/parts/CABHD.lsp|cab:edit-walls|setq|cab-walls
shared/parts/CABHD.lsp|cab:fit-arc-seg|setq|cab-miss-left
shared/parts/CABHD.lsp|cab:guided-fit|setq|cab-miss-left
shared/parts/CABHD.lsp|cab:has-arcs|foreach|s
shared/parts/CABHD.lsp|cab:omit-loop|setq|cab-omitted
shared/parts/CABHD.lsp|cab:prune-decls|setq|cab-corners
shared/parts/CABHD.lsp|cab:prune-decls|setq|cab-holds
shared/parts/CABHD.lsp|cab:prune-decls|setq|cab-walls
shared/parts/CABHD.lsp|cab:sweep-marks|setq|cab-temp
shared/parts/CABHD.lsp|cab:temp-add|setq|cab-temp
shared/parts/CABHD.lsp|cab:temp-clear|setq|cab-temp
shared/parts/CABHD.lsp|cab:temp-drop|setq|cab-temp
shared/parts/CDCALLOUT.lsp|c:cdcallout|setq-global|*error*
shared/parts/CDCREATE.lsp|c:cdcreate|foreach|pr
shared/parts/CDCREATE.lsp|c:cdcreate|setq-global|*error*
shared/parts/CDCREATE.lsp|cdc:fixdim|foreach|code
shared/parts/CDCREATE.lsp|cdc:names|foreach|n
shared/parts/CDCREATE.lsp|cdc:strip|foreach|g
shared/parts/CUSTBLOCK.lsp|c:custblock|setq-global|*error*
shared/parts/CUSTBLOCK.lsp|cbk:fixdim|foreach|code
shared/parts/CUSTBLOCK.lsp|cbk:strip|foreach|g
shared/parts/DroneHeightGPS.lsp|ddg-adodb-read|foreach|s
shared/parts/DroneHeightGPS.lsp|ddg-certutil-read|foreach|b
shared/parts/DroneHeightGPS.lsp|ddg-fail|foreach|l
shared/parts/DroneHeightGPS.lsp|ddg-http-get|foreach|prog
shared/parts/DroneHeightGPS.lsp|ddg-place-text|foreach|ln
shared/parts/DroneHeightGPS.lsp|ddg-report|foreach|l
shared/parts/FITABHD.lsp|fit:add-point|setq|fit-nmoved
shared/parts/FITABHD.lsp|fit:add-point|setq|fit-npt
shared/parts/FITABHD.lsp|fit:add-point|setq|fit-ptnames
shared/parts/FITABHD.lsp|fit:add-point|setq|fit-pts
shared/parts/FITABHD.lsp|fit:omit-loop|setq|fit-omit
shared/parts/LINTXTCHK.lsp|c:lintxtchk|foreach|item
shared/parts/MOHAMADDLE.lsp|mohamaddle--dodge|foreach|pad
shared/parts/MOHAMADDLE.lsp|mohamaddle--dodge|foreach|q
shared/parts/MOHAMADDLE.lsp|mohamaddle--features|foreach|ctr
shared/parts/PADDLE.lsp|c:tutorialpaddle|foreach|e
shared/parts/PADDLE.lsp|paddle--dodge|foreach|pad
shared/parts/PADDLE.lsp|paddle--dodge|foreach|q
shared/parts/PADDLE.lsp|paddle--features|foreach|ctr
shared/parts/POOL.lsp|pool:askcorner|foreach|e
shared/parts/POOL.lsp|pool:askh|foreach|e
shared/parts/POOL.lsp|pool:asks|foreach|e
shared/parts/POOL.lsp|pool:crossget|foreach|c
shared/parts/POOL.lsp|pool:crossmax|foreach|c
shared/parts/POOL.lsp|pool:crossresid|foreach|m
shared/parts/POOL.lsp|pool:edgemax|foreach|e
shared/parts/POOL.lsp|pool:effcross|foreach|m
shared/parts/POOL.lsp|pool:fitpoly|foreach|c
shared/parts/POOL.lsp|pool:hexcross|foreach|pr
shared/parts/POOL.lsp|pool:muttflow|setq|km
shared/parts/POOL.lsp|pool:muttflow|setq|n
shared/parts/POOL.lsp|pool:muttflow|setq|spec
shared/parts/POOL.lsp|pool:pvkill|foreach|e
shared/parts/POOL.lsp|pool:rawavg|foreach|m
shared/parts/POOL.lsp|pool:setnth|foreach|x
shared/parts/POOLDEMO.lsp|pooldemo:run|foreach|fn
shared/parts/POOLDEMO.lsp|pooldemo:run|setq-global|pool:*dotlt*
shared/parts/POOLDEMO.lsp|pooldemo:run|setq-global|pool:*smallwarned*
shared/parts/SPACHECK.lsp|spachk:demo|setq|undo-open
shared/parts/TUTORIALPOOL.lsp|tutorial:run|setq-global|pool:*base*
shared/parts/TUTORIALPOOL.lsp|tutorial:run|setq-global|pool:*dotlt*
shared/parts/TUTORIALPOOL.lsp|tutorial:run|setq-global|pool:*smallwarned*
shared/parts/TUTORIALSPA.lsp|tut:demo|setq-global|spa:*advice*
shared/parts/TUTORIALSPA.lsp|tut:demo|setq-global|spa:*base*
shared/parts/TUTORIALSPA.lsp|tut:demo|setq-global|spa:*dotlt*
shared/parts/TUTORIALSPA.lsp|tut:demo|setq-global|spa:*spillturn*
shared/parts/TUTORIALSPA.lsp|tut:demo|setq-global|spa:*turned*
shared/parts/TUTORIALSPA.lsp|tut:demo|setq-global|spa:*valnotes*
shared/parts/abhd.lsp|c:abhd|setq-global|*error*
shared/parts/abhd.lsp|c:adab|setq-global|*error*
shared/parts/abhd.lsp|c:simpabhd|setq-global|*error*
shared/parts/abhd.lsp|c:tutorialabhd|setq-global|*error*
shared/parts/abhd.lsp|pf:add-point|setq|npt
shared/parts/abhd.lsp|pf:add-point|setq|pf-nmoved
shared/parts/abhd.lsp|pf:add-point|setq|pf-ptnames
shared/parts/abhd.lsp|pf:add-point|setq|pts
shared/parts/abhd.lsp|pf:ask-cap|setq-global|*pf-max-arcs*
shared/parts/abhd.lsp|pf:ask-slope|setq|pf-phase
shared/parts/abhd.lsp|pf:ask-slope|setq|slopemarks
